TIME.SecOfWeek   blh0.B        blh0.L        blh0.H      X       Y        Z       Dop       sigma0     mpos  
487627.000000  30.5100292352  114.3560535103  39.4816882955  -2268150.6769312392  5010321.8967203842  3219232.5439268383    1.4120    4.3970    6.2085  
487628.000000  30.5100291763  114.3560535568  39.4645336131  -2268150.6762687881  5010321.8844389124  3219232.5295872921    1.4119    4.3884    6.1959  
487629.000000  30.5100292512  114.3560536060  39.4955039006  -2268150.6898421487  5010321.9029532885  3219232.5524681401    1.4117    4.4001    6.2117  
487630.000000  30.5100292749  114.3560536476  39.5168205639  -2268150.7004960277  5010321.9168242784  3219232.5655557979    1.4116    4.4098    6.2247  
487631.000000  30.5100292052  114.3560536691  39.5115745915  -2268150.7021380467  5010321.9154296638  3219232.5562296049    1.4114    4.4006    6.2111  
487632.000000  30.5100291623  114.3560536837  39.5131398989  -2268150.7049653814  5010321.9182812190  3219232.5529257371    1.4113    4.3934    6.2004  
487633.000000  30.5100290889  114.3560537462  39.5062371790  -2268150.7096793731  5010321.9141523400  3219232.5424133707    1.4112    4.3842    6.1869  
487634.000000  30.5100289756  114.3560538457  39.4947012570  -2268150.7169107399  5010321.9069670429  3219232.5257382453    1.4110    4.3671    6.1621  
487635.000000  30.5100289510  114.3560539284  39.4950390728  -2268150.7248382862  5010321.9052203028  3219232.5235559600    1.4109    4.3648    6.1582  
487636.000000  30.5100288778  114.3560540378  39.4941220591  -2268150.7357765688  5010321.9039247334  3219232.5160974865    1.4107    4.3543    6.1427  
487637.000000  30.5100288214  114.3560541264  39.4900048180  -2268150.7433661595  5010321.9000744121  3219232.5086285891    1.4106    4.3437    6.1271  
487638.000000  30.5100287982  114.3560542188  39.5045675403  -2268150.7571623009  5010321.9090380576  3219232.5138003714    1.4105    4.3399    6.1212  
487639.000000  30.5100287193  114.3560542949  39.4965979746  -2268150.7628206047  5010321.9038155004  3219232.5022165286    1.4103    4.3283    6.1043  
487640.000000  30.5100286801  114.3560543353  39.5001870682  -2268150.7685330226  5010321.9070458272  3219232.5002942537    1.4102    4.3250    6.0990  
487641.000000  30.5100285898  114.3560544544  39.4831703501  -2268150.7749961005  5010321.8936014036  3219232.4830375528    1.4100    4.3109    6.0786  
487642.000000  30.5100286101  114.3560545319  39.5039038220  -2268150.7886702586  5010321.9057670934  3219232.4954990749    1.4099    4.3129    6.0807  
487643.000000  30.5100286326  114.3560546083  39.5202546045  -2268150.8006429379  5010321.9144185940  3219232.5059515191    1.4097    4.3105    6.0767  
487644.000000  30.5100285545  114.3560546693  39.5121583361  -2268150.8049142621  5010321.9096579561  3219232.4943746761    1.4096    4.3000    6.0613  
487645.000000  30.5100284589  114.3560546669  39.5186989168  -2268150.8092461913  5010321.9197864933  3219232.4885677951    1.4095    4.2932    6.0512  
487646.000000  30.5100284209  114.3560547207  39.5228004465  -2268150.8162882682  5010321.9228256419  3219232.4870198676    1.4093    4.2924    6.0493  
