TIME.SecOfWeek   blh0.B        blh0.L        blh0.H      X       Y        Z       Dop       sigma0     mpos  
491031.000000  30.5099967963  114.3560467714  31.6185648721  -2268148.0467977412  5010317.6552878153  3219225.4536011666    1.3209    0.4701    0.6209  
491032.000000  30.5099968403  114.3560466734  31.6217583707  -2268148.0383367897  5010317.6594192367  3219225.4594258135    1.3210    0.4752    0.6277  
491033.000000  30.5099968545  114.3560466252  31.6337870536  -2268148.0380672640  5010317.6700359220  3219225.4668945535    1.3210    0.4801    0.6342  
491034.000000  30.5099967935  114.3560465297  31.6399164442  -2268148.0333127915  5010317.6817566622  3219225.4641753505    1.3211    0.4849    0.6406  
491035.000000  30.5099968327  114.3560464442  31.6422214229  -2268148.0257449159  5010317.6849396545  3219225.4690910834    1.3211    0.4929    0.6512  
491036.000000  30.5099968341  114.3560463658  31.6511807926  -2268148.0220409017  5010317.6950017586  3219225.4737751354    1.3212    0.4956    0.6548  
491037.000000  30.5099968487  114.3560462676  31.6551625216  -2268148.0145301390  5010317.7012668019  3219225.4771889020    1.3212    0.4994    0.6598  
491038.000000  30.5099969647  114.3560462385  31.6730513554  -2268148.0156467105  5010317.7105107484  3219225.4973525810    1.3213    0.5058    0.6683  
491039.000000  30.5099969800  114.3560461493  31.6865842119  -2268148.0123022366  5010317.7238814365  3219225.5056785373    1.3213    0.5098    0.6735  
491040.000000  30.5099970089  114.3560460541  31.6881792033  -2268148.0038648709  5010317.7274184376  3219225.5092570288    1.3213    0.5157    0.6814  
491041.000000  30.5099969943  114.3560459755  31.6976673715  -2268148.0007096669  5010317.7387261186  3219225.5126729738    1.3214    0.5247    0.6933  
491042.000000  30.5099970450  114.3560458537  31.7034972114  -2268147.9909518836  5010317.7455245573  3219225.5204749480    1.3214    0.5305    0.7010  
491043.000000  30.5099971064  114.3560457693  31.7028536955  -2268147.9819134413  5010317.7452140180  3219225.5260130093    1.3215    0.5376    0.7104  
491044.000000  30.5099971874  114.3560456652  31.7176999915  -2268147.9762033210  5010317.7568328772  3219225.5412899009    1.3215    0.5444    0.7194  
491045.000000  30.5099971794  114.3560455761  31.7227034466  -2268147.9703809707  5010317.7646924835  3219225.5430694167    1.3216    0.5490    0.7255  
491046.000000  30.5099972121  114.3560455276  31.7197837941  -2268147.9643462235  5010317.7626465708  3219225.5447048335    1.3216    0.5576    0.7369  
491047.000000  30.5099972684  114.3560454307  31.7278604666  -2268147.9574336894  5010317.7699364424  3219225.5541814468    1.3217    0.5651    0.7468  
491048.000000  30.5099972236  114.3560453912  31.7240359336  -2268147.9536566511  5010317.7707983861  3219225.5479590436    1.3217    0.5738    0.7584  
491049.000000  30.5099972623  114.3560453612  31.7253970420  -2268147.9506156635  5010317.7710675467  3219225.5523521458    1.3218    0.5840    0.7719  
491050.000000  30.5099972603  114.3560453157  31.7271902487  -2268147.9473260697  5010317.7743778545  3219225.5530688707    1.3218    0.5938    0.7850  
491051.000000  30.5099972340  114.3560453065  31.7292178916  -2268147.9478491829  5010317.7776816729  3219225.5515890890    1.3219    0.5977    0.7901  
491052.000000  30.5099972217  114.3560452697  31.7289451193  -2268147.9448234080  5010317.7795560611  3219225.5502716647    1.3219    0.6094    0.8055  
491053.000000  30.5099972985  114.3560452359  31.7336511072  -2268147.9417561605  5010317.7806500494  3219225.5599964471    1.3220    0.6207    0.8206  
491054.000000  30.5099974099  114.3560452063  31.7474955106  -2268147.9415032067  5010317.7869725451  3219225.5776686561    1.3220    0.6254    0.8268  
491055.000000  30.5099974749  114.3560451639  31.7603621269  -2268147.9408503203  5010317.7954193093  3219225.5904107792    1.3221    0.6314    0.8348  
491056.000000  30.5099975277  114.3560450936  31.7714244667  -2268147.9374153973  5010317.8041750910  3219225.6010682690    1.3221    0.6380    0.8435  
491057.000000  30.5099975995  114.3560450454  31.7784366822  -2268147.9340237738  5010317.8079054514  3219225.6114869528    1.3222    0.6480    0.8567  
491058.000000  30.5099976337  114.3560450368  31.7871851698  -2268147.9355835384  5010317.8133606566  3219225.6191938492    1.3222    0.6562    0.8676  
491059.000000  30.5099977008  114.3560449470  31.7988172593  -2268147.9303054046  5010317.8226072444  3219225.6315047820    1.3222    0.6629    0.8765  
491060.000000  30.5099976722  114.3560449654  31.8123358758  -2268147.9373817807  5010317.8339534393  3219225.6356394691    1.3223    0.6655    0.8799  
491061.000000  30.5099976513  114.3560449371  31.8224915797  -2268147.9390018592  5010317.8441135930  3219225.6388023240    1.3223    0.6683    0.8837  
491062.000000  30.5099976061  114.3560448698  31.8306992343  -2268147.9370838171  5010317.8555373773  3219225.6386507130    1.3224    0.6714    0.8878  
491063.000000  30.5099976390  114.3560448063  31.8442288348  -2268147.9355771150  5010317.8669837946  3219225.6486589336    1.3224    0.6794    0.8985  
491064.000000  30.5099977429  114.3560448040  31.8596365005  -2268147.9384376700  5010317.8738410864  3219225.6664045695    1.3225    0.6879    0.9097  
491065.000000  30.5099977774  114.3560448322  31.8667332334  -2268147.9426230607  5010317.8765280182  3219225.6733000758    1.3225    0.6923    0.9155  
491066.000000  30.5099977727  114.3560447759  31.8790401453  -2268147.9421777334  5010317.8886591019  3219225.6790986890    1.3226    0.6968    0.9216  
491067.000000  30.5099977822  114.3560447490  31.8881300734  -2268147.9428379387  5010317.8963662386  3219225.6846262948    1.3226    0.7015    0.9278  
491068.000000  30.5099977530  114.3560447489  31.8973367037  -2268147.9467801303  5010317.9050957058  3219225.6865064055    1.3227    0.7052    0.9328  
491069.000000  30.5099977698  114.3560447164  31.8998833848  -2268147.9444493046  5010317.9075199896  3219225.6894060168    1.3227    0.7148    0.9455  
491070.000000  30.5099977726  114.3560447085  31.8949773489  -2268147.9419520251  5010317.9038345348  3219225.6871878011    1.3228    0.7181    0.9498  
491071.000000  30.5099977473  114.3560446988  31.9082076810  -2268147.9463937632  5010317.9159030803  3219225.6914817728    1.3228    0.7222    0.9554  
491072.000000  30.5099976934  114.3560446315  31.9089283822  -2268147.9420108963  5010317.9218945978  3219225.6867060638    1.3229    0.7201    0.9526  
491073.000000  30.5099976237  114.3560446409  31.9130137628  -2268147.9459047336  5010317.9283020925  3219225.6821223004    1.3229    0.7212    0.9540  
491074.000000  30.5099975176  114.3560446577  31.9150568629  -2268147.9505635323  5010317.9346807376  3219225.6730250763    1.3229    0.7282    0.9633  
491075.000000  30.5099974934  114.3560446091  31.9221896119  -2268147.9494112893  5010317.9434457170  3219225.6743306629    1.3230    0.7297    0.9653  
491076.000000  30.5099974193  114.3560445717  31.9337668521  -2268147.9519702215  5010317.9578101048  3219225.6731369249    1.3230    0.7343    0.9715  
491077.000000  30.5099973682  114.3560445356  31.9488160396  -2268147.9553502682  5010317.9736688547  3219225.6758970525    1.3231    0.7353    0.9729  
491078.000000  30.5099973488  114.3560445252  31.9701279188  -2268147.9624630073  5010317.9918057695  3219225.6848586178    1.3231    0.7318    0.9683  
491079.000000  30.5099973354  114.3560445139  31.9865365308  -2268147.9676103536  5010318.0058225505  3219225.6919071786    1.3232    0.7320    0.9686  
491080.000000  30.5099973368  114.3560445427  32.0003690869  -2268147.9750157311  5010318.0154616889  3219225.6990690152    1.3232    0.7322    0.9688  
491081.000000  30.5099972586  114.3560444855  32.0094372267  -2268147.9750476750  5010318.0288543869  3219225.6962037715    1.3233    0.7303    0.9664  
491082.000000  30.5099972519  114.3560444692  32.0181468455  -2268147.9768695049  5010318.0366798332  3219225.6999864145    1.3233    0.7346    0.9721  
491083.000000  30.5099972102  114.3560444393  32.0199588519  -2268147.9758733436  5010318.0414204821  3219225.6969238757    1.3234    0.7368    0.9750  
491084.000000  30.5099971964  114.3560444296  32.0246526236  -2268147.9770090468  5010318.0462010000  3219225.6979839676    1.3234    0.7376    0.9761  
491085.000000  30.5099971251  114.3560443992  32.0325822607  -2268147.9788232595  5010318.0572856348  3219225.6951970458    1.3235    0.7410    0.9807  
491086.000000  30.5099970678  114.3560443930  32.0287034083  -2268147.9782306761  5010318.0574208396  3219225.6877625254    1.3235    0.7467    0.9882  
491087.000000  30.5099970102  114.3560443559  32.0299606733  -2268147.9767771568  5010318.0628306782  3219225.6828928473    1.3236    0.7526    0.9961  
491088.000000  30.5099969279  114.3560443446  32.0298074214  -2268147.9776401096  5010318.0673764907  3219225.6749594323    1.3236    0.7562    1.0009  
491089.000000  30.5099969259  114.3560443155  32.0363163212  -2268147.9774539620  5010318.0737434933  3219225.6780672590    1.3237    0.7617    1.0082  
491090.000000  30.5099968766  114.3560442950  32.0336636268  -2268147.9758643410  5010318.0749969743  3219225.6720168847    1.3237    0.7647    1.0122  
491091.000000  30.5099967757  114.3560442276  32.0417616945  -2268147.9751920090  5010318.0891922880  3219225.6664929539    1.3237    0.7665    1.0146  
491092.000000  30.5099967289  114.3560442129  32.0466780644  -2268147.9767376753  5010318.0960381394  3219225.6645116750    1.3238    0.7659    1.0139  
491093.000000  30.5099967045  114.3560441888  32.0542059708  -2268147.9778724462  5010318.1041463511  3219225.6660103807    1.3238    0.7723    1.0224  
491094.000000  30.5099966702  114.3560441652  32.0473379241  -2268147.9741671700  5010318.1014477545  3219225.6592473481    1.3239    0.7752    1.0262  
491095.000000  30.5099966697  114.3560441513  32.0647718543  -2268147.9791528936  5010318.1157087665  3219225.6680510291    1.3239    0.7770    1.0286  
491096.000000  30.5099966925  114.3560441480  32.0827654684  -2268147.9847312830  5010318.1287955781  3219225.6793576158    1.3240    0.7763    1.0279  
491097.000000  30.5099966066  114.3560440226  32.0930877868  -2268147.9794260701  5010318.1462638387  3219225.6763972929    1.3240    0.7763    1.0278  
491098.000000  30.5099965878  114.3560439799  32.0907833315  -2268147.9753093296  5010318.1471113497  3219225.6734290537    1.3241    0.7742    1.0251  
491099.000000  30.5099965881  114.3560438785  32.0909672780  -2268147.9665002106  5010318.1512507135  3219225.6735571381    1.3241    0.7800    1.0328  
491100.000000  30.5099965753  114.3560438486  32.0986474818  -2268147.9669122989  5010318.1591240913  3219225.6762246364    1.3242    0.7816    1.0350  
491101.000000  30.5099965150  114.3560437960  32.0959181171  -2268147.9627416395  5010318.1621505357  3219225.6690886496    1.3242    0.7825    1.0362  
491102.000000  30.5099964705  114.3560437513  32.0957267797  -2268147.9597964375  5010318.1660551894  3219225.6647365456    1.3243    0.7822    1.0358  
491103.000000  30.5099964157  114.3560437274  32.0902081504  -2268147.9570224532  5010318.1654776735  3219225.6567006153    1.3243    0.7810    1.0342  
491104.000000  30.5099963537  114.3560436815  32.0874173073  -2268147.9534507496  5010318.1682873899  3219225.6493594130    1.3243    0.7814    1.0348  
491105.000000  30.5099963556  114.3560436427  32.0801560264  -2268147.9474395402  5010318.1640198324  3219225.6458611619    1.3244    0.7845    1.0390  
491106.000000  30.5099962915  114.3560436437  32.0805240348  -2268147.9491472798  5010318.1675601127  3219225.6399177634    1.3244    0.7873    1.0428  
491107.000000  30.5099962373  114.3560436471  32.0847684434  -2268147.9522034936  5010318.1735349847  3219225.6369022583    1.3245    0.7867    1.0419  
491108.000000  30.5099962767  114.3560436545  32.0897761863  -2268147.9537187777  5010318.1751507400  3219225.6432077149    1.3245    0.7898    1.0461  
491109.000000  30.5099962083  114.3560436339  32.0910989577  -2268147.9539733469  5010318.1805123668  3219225.6373461988    1.3246    0.7896    1.0459  
491110.000000  30.5099961744  114.3560435963  32.0941699361  -2268147.9525678875  5010318.1861479916  3219225.6356663262    1.3246    0.7865    1.0418  
491111.000000  30.5099961564  114.3560436162  32.0978603503  -2268147.9560353863  5010318.1891804272  3219225.6358206491    1.3247    0.7865    1.0419  
491112.000000  30.5099961785  114.3560436068  32.1057224451  -2268147.9574915157  5010318.1945928289  3219225.6419203086    1.3247    0.7800    1.0333  
491113.000000  30.5099961005  114.3560436074  32.1004511202  -2268147.9574805181  5010318.1944281375  3219225.6317996224    1.3248    0.7761    1.0282  
491114.000000  30.5099960251  114.3560435654  32.0939582540  -2268147.9532491262  5010318.1948661739  3219225.6212946940    1.3248    0.7741    1.0256  
491115.000000  30.5099959942  114.3560435354  32.0941625480  -2268147.9514224487  5010318.1977955839  3219225.6184467534    1.3249    0.7671    1.0164  
491116.000000  30.5099959188  114.3560434966  32.0876041502  -2268147.9474458112  5010318.1980494298  3219225.6079192050    1.3249    0.7631    1.0110  
491117.000000  30.5099957983  114.3560435535  32.0804458298  -2268147.9526771167  5010318.1963561494  3219225.5927760070    1.3250    0.7591    1.0057  
491118.000000  30.5099957082  114.3560435616  32.0785193201  -2268147.9547907514  5010318.1991462121  3219225.5831888076    1.3250    0.7528    0.9974  
491119.000000  30.5099956487  114.3560435715  32.0800105399  -2268147.9575698972  5010318.2029732196  3219225.5782647226    1.3250    0.7473    0.9903  
491120.000000  30.5099955683  114.3560435376  32.0814031828  -2268147.9569641561  5010318.2095295470  3219225.5712959659    1.3251    0.7432    0.9848  
491121.000000  30.5099955098  114.3560435541  32.0840082718  -2268147.9606868406  5010318.2139221681  3219225.5670311367    1.3251    0.7352    0.9743  
491122.000000  30.5099954527  114.3560434742  32.0806376329  -2268147.9538326194  5010318.2173678437  3219225.5598619967    1.3252    0.7306    0.9682  
491123.000000  30.5099954356  114.3560434442  32.0846910365  -2268147.9530445635  5010318.2226138078  3219225.5602875254    1.3252    0.7273    0.9639  
491124.000000  30.5099953998  114.3560434448  32.0762046911  -2268147.9509108104  5010318.2177650901  3219225.5525610754    1.3253    0.7288    0.9658  
491125.000000  30.5099954261  114.3560434783  32.0724306600  -2268147.9518905389  5010318.2121302318  3219225.5531529016    1.3253    0.7272    0.9638  
491126.000000  30.5099953358  114.3560434750  32.0772292977  -2268147.9554023291  5010318.2206541952  3219225.5469694538    1.3254    0.7208    0.9553  
491127.000000  30.5099952720  114.3560434437  32.0713743726  -2268147.9520677468  5010318.2205676036  3219225.5379045070    1.3254    0.7136    0.9458  
491128.000000  30.5099952403  114.3560434317  32.0691587254  -2268147.9509673771  5010318.2209304795  3219225.5337494207    1.3255    0.7100    0.9411  
491129.000000  30.5099951342  114.3560434299  32.0483605210  -2268147.9458787506  5010318.2101168558  3219225.5130615979    1.3255    0.7081    0.9386  
491130.000000  30.5099950916  114.3560434835  32.0412152419  -2268147.9490179829  5010318.2045703428  3219225.5053651412    1.3256    0.7090    0.9399  
491131.000000  30.5099949802  114.3560434913  32.0335356854  -2268147.9495562306  5010318.2039476726  3219225.4908245639    1.3256    0.7070    0.9372  
491132.000000  30.5099949627  114.3560435088  32.0393842962  -2268147.9535718635  5010318.2087433152  3219225.4921204639    1.3256    0.7037    0.9328  
491133.000000  30.5099948897  114.3560435095  32.0347076040  -2268147.9536708971  5010318.2087885709  3219225.4827694595    1.3257    0.7010    0.9293  
491134.000000  30.5099948932  114.3560435588  32.0259212283  -2268147.9547780692  5010318.1997597450  3219225.4786461433    1.3257    0.6991    0.9268  
491135.000000  30.5099947871  114.3560435522  32.0223368946  -2268147.9553818111  5010318.2026484441  3219225.4666977162    1.3258    0.6917    0.9170  
491136.000000  30.5099947344  114.3560435939  32.0210356982  -2268147.9597959425  5010318.2026815824  3219225.4609942897    1.3258    0.6885    0.9128  
491137.000000  30.5099946650  114.3560435625  32.0316656735  -2268147.9624344222  5010318.2158261510  3219225.4597648284    1.3259    0.6860    0.9095  
491138.000000  30.5099946294  114.3560435438  32.0355083412  -2268147.9629944721  5010318.2214016467  3219225.4583223616    1.3259    0.6816    0.9038  
491139.000000  30.5099946061  114.3560435815  32.0303310547  -2268147.9649921600  5010318.2170440061  3219225.4534632405    1.3260    0.6778    0.8987  
491140.000000  30.5099946096  114.3560435800  32.0332978424  -2268147.9658306059  5010318.2192512490  3219225.4553078758    1.3260    0.6780    0.8991  
491141.000000  30.5099945726  114.3560436004  32.0320804808  -2268147.9680387899  5010318.2193911122  3219225.4511484122    1.3261    0.6743    0.8941  
491142.000000  30.5099946256  114.3560436569  32.0372966873  -2268147.9736025119  5010318.2185281636  3219225.4588631606    1.3261    0.6730    0.8924  
491143.000000  30.5099947036  114.3560436920  32.0336400401  -2268147.9735643654  5010318.2102680020  3219225.4644571552    1.3261    0.6739    0.8937  
491144.000000  30.5099947215  114.3560436343  32.0306552509  -2268147.9670449351  5010318.2092899689  3219225.4646525802    1.3262    0.6688    0.8870  
491145.000000  30.5099946871  114.3560436546  32.0203302782  -2268147.9659465840  5010318.2021499583  3219225.4561221781    1.3262    0.6633    0.8798  
491146.000000  30.5099946174  114.3560436397  32.0079747615  -2268147.9618769437  5010318.1966119558  3219225.4431950045    1.3263    0.6577    0.8722  
491147.000000  30.5099946087  114.3560436085  32.0120572057  -2268147.9607992107  5010318.2014967483  3219225.4444388188    1.3263    0.6531    0.8662  
491148.000000  30.5099945635  114.3560436198  31.9996199999  -2268147.9584156177  5010318.1936086183  3219225.4338039616    1.3264    0.6514    0.8640  
491149.000000  30.5099945505  114.3560436217  31.9903891236  -2268147.9556003404  5010318.1869538780  3219225.4278799915    1.3264    0.6478    0.8592  
491150.000000  30.5099945525  114.3560435901  31.9837504523  -2268147.9504330419  5010318.1828919491  3219225.4246996013    1.3265    0.6459    0.8568  
491151.000000  30.5099944875  114.3560436327  31.9677208597  -2268147.9499771022  5010318.1719594132  3219225.4103462319    1.3265    0.6390    0.8476  
491152.000000  30.5099944308  114.3560436054  31.9613542669  -2268147.9466409809  5010318.1709502097  3219225.4017008375    1.3266    0.6350    0.8424  
491153.000000  30.5099944231  114.3560435675  31.9461185914  -2268147.9380966583  5010318.1608851291  3219225.3932308359    1.3266    0.6327    0.8394  
491154.000000  30.5099944215  114.3560436001  31.9491457362  -2268147.9420540049  5010318.1620557150  3219225.3946142243    1.3267    0.6259    0.8304  
491155.000000  30.5099943498  114.3560436065  31.9383361498  -2268147.9404418240  5010318.1569896666  3219225.3822826254    1.3267    0.6188    0.8210  
491156.000000  30.5099943388  114.3560436019  31.9346839879  -2268147.9389965450  5010318.1548746787  3219225.3793700710    1.3267    0.6176    0.8194  
491157.000000  30.5099943519  114.3560436466  31.9263881268  -2268147.9396503503  5010318.1459181719  3219225.3764184150    1.3268    0.6127    0.8129  
491158.000000  30.5099943111  114.3560436277  31.9208614817  -2268147.9369817791  5010318.1444223970  3219225.3697125111    1.3268    0.6067    0.8049  
491159.000000  30.5099943085  114.3560436459  31.9185301531  -2268147.9378063986  5010318.1420086790  3219225.3682748587    1.3269    0.6068    0.8052  
491160.000000  30.5099942589  114.3560437235  31.9145054519  -2268147.9443117166  5010318.1383178262  3219225.3615005263    1.3269    0.6025    0.7995  
491161.000000  30.5099942636  114.3560437325  31.9071101109  -2268147.9423671952  5010318.1319142506  3219225.3581943461    1.3270    0.6035    0.8008  
491162.000000  30.5099943073  114.3560437127  31.8990255948  -2268147.9367419388  5010318.1241169600  3219225.3582612625    1.3270    0.6015    0.7982  
491163.000000  30.5099942605  114.3560436839  31.8940801574  -2268147.9335548161  5010318.1237731865  3219225.3512821356    1.3271    0.5982    0.7938  
491164.000000  30.5099942854  114.3560437370  31.8926279144  -2268147.9371003932  5010318.1192548191  3219225.3529254687    1.3271    0.5951    0.7898  
491165.000000  30.5099942889  114.3560437615  31.8865628839  -2268147.9370119981  5010318.1133440416  3219225.3501787670    1.3272    0.5952    0.7900  
491166.000000  30.5099942996  114.3560437427  31.8884590035  -2268147.9357959121  5010318.1150288116  3219225.3521600720    1.3272    0.5900    0.7831  
491167.000000  30.5099943043  114.3560437727  31.8871612679  -2268147.9378501344  5010318.1125803208  3219225.3519515237    1.3272    0.5922    0.7860  
491168.000000  30.5099943526  114.3560437606  31.8839420732  -2268147.9345192895  5010318.1080601802  3219225.3549296530    1.3273    0.5941    0.7886  
491169.000000  30.5099943908  114.3560437808  31.8767915806  -2268147.9328607968  5010318.0996890133  3219225.3549473858    1.3273    0.5942    0.7887  
491170.000000  30.5099945075  114.3560438088  31.8811997669  -2268147.9341704315  5010318.0960553447  3219225.3683311841    1.3274    0.5960    0.7911  
491171.000000  30.5099945451  114.3560438224  31.8763553202  -2268147.9327588975  5010318.0897871302  3219225.3694672585    1.3274    0.5953    0.7902  
491172.000000  30.5099945618  114.3560438791  31.8843556792  -2268147.9401799976  5010318.0929654073  3219225.3751185476    1.3275    0.5902    0.7835  
491173.000000  30.5099946358  114.3560439241  31.8899901481  -2268147.9443935603  5010318.0918114875  3219225.3850518852    1.3275    0.5868    0.7789  
491174.000000  30.5099946444  114.3560439212  31.8893067744  -2268147.9436986488  5010318.0909505729  3219225.3855231032    1.3276    0.5858    0.7777  
491175.000000  30.5099946698  114.3560439093  31.8914294541  -2268147.9428240983  5010318.0917799929  3219225.3890339737    1.3276    0.5850    0.7767  
491176.000000  30.5099946900  114.3560439191  31.9025885854  -2268147.9471781757  5010318.0991163915  3219225.3966253130    1.3277    0.5849    0.7766  
491177.000000  30.5099947637  114.3560439801  31.9073830936  -2268147.9525089338  5010318.0966869565  3219225.4060941916    1.3277    0.5825    0.7734  
491178.000000  30.5099948176  114.3560440342  31.9138018545  -2268147.9582685442  5010318.0968183829  3219225.4145032717    1.3277    0.5834    0.7746  
491179.000000  30.5099947960  114.3560440515  31.9170116941  -2268147.9614210697  5010318.0997579684  3219225.4140749765    1.3278    0.5821    0.7729  
491180.000000  30.5099947999  114.3560441122  31.9144476373  -2268147.9657262336  5010318.0951458402  3219225.4131417135    1.3278    0.5812    0.7718  
491181.000000  30.5099948430  114.3560441403  31.9208524944  -2268147.9694606969  5010318.0968524618  3219225.4205055204    1.3279    0.5789    0.7686  
491182.000000  30.5099948594  114.3560441431  31.9295512848  -2268147.9724148861  5010318.1027272204  3219225.4264900335    1.3279    0.5772    0.7665  
491183.000000  30.5099949004  114.3560442098  31.9314993201  -2268147.9779854477  5010318.0995113244  3219225.4314001920    1.3280    0.5786    0.7684  
491184.000000  30.5099948655  114.3560441900  31.9319931949  -2268147.9772411920  5010318.1024708133  3219225.4283186113    1.3280    0.5786    0.7684  
491185.000000  30.5099948734  114.3560442504  31.9298323700  -2268147.9815672617  5010318.0979809910  3219225.4279758874    1.3281    0.5769    0.7662  
491186.000000  30.5099948274  114.3560442831  31.9319137977  -2268147.9862396084  5010318.1006769836  3219225.4246378886    1.3281    0.5729    0.7609  
491187.000000  30.5099948718  114.3560443118  31.9336839896  -2268147.9883497851  5010318.0986541500  3219225.4297750653    1.3282    0.5698    0.7568  
491188.000000  30.5099948538  114.3560443781  31.9320970336  -2268147.9939944921  5010318.0957122296  3219225.4272468663    1.3282    0.5676    0.7538  
491189.000000  30.5099948083  114.3560443971  31.9298170302  -2268147.9959054631  5010318.0955013642  3219225.4217445203    1.3282    0.5640    0.7491  
491190.000000  30.5099948470  114.3560444295  31.9374861289  -2268148.0005605076  5010318.0982520971  3219225.4293401036    1.3283    0.5640    0.7492  
491191.000000  30.5099948403  114.3560444992  31.9427276095  -2268148.0086827958  5010318.0999509664  3219225.4313535723    1.3283    0.5614    0.7457  
491192.000000  30.5099948073  114.3560445006  31.9524409156  -2268148.0130209629  5010318.1092079002  3219225.4331391277    1.3284    0.5595    0.7432  
491193.000000  30.5099948307  114.3560445633  31.9574859804  -2268148.0197545872  5010318.1094886344  3219225.4379299409    1.3284    0.5595    0.7432  
491194.000000  30.5099948037  114.3560446390  31.9678258412  -2268148.0306685991  5010318.1159944432  3219225.4406006592    1.3285    0.5574    0.7405  
491195.000000  30.5099947577  114.3560446808  31.9682283681  -2268148.0355321709  5010318.1170148840  3219225.4364122078    1.3285    0.5567    0.7396  
491196.000000  30.5099947961  114.3560447389  31.9758343706  -2268148.0424305992  5010318.1187086441  3219225.4439475187    1.3286    0.5548    0.7371  
491197.000000  30.5099948427  114.3560447644  31.9839959573  -2268148.0464783870  5010318.1217156248  3219225.4525419986    1.3286    0.5533    0.7351  
491198.000000  30.5099948621  114.3560448121  31.9929620968  -2268148.0533781499  5010318.1258759312  3219225.4589422820    1.3286    0.5520    0.7334  
491199.000000  30.5099949081  114.3560448515  32.0045878086  -2268148.0598951792  5010318.1310786856  3219225.4692374296    1.3287    0.5499    0.7307  
491200.000000  30.5099949231  114.3560448832  32.0075867064  -2268148.0633778041  5010318.1314092353  3219225.4721960723    1.3287    0.5514    0.7326  
491201.000000  30.5099949655  114.3560448930  32.0150841083  -2268148.0659194957  5010318.1347298184  3219225.4800515240    1.3288    0.5501    0.7310  
491202.000000  30.5099949245  114.3560450032  32.0258381888  -2268148.0803238074  5010318.1409131810  3219225.4815939455    1.3288    0.5491    0.7297  
491203.000000  30.5099949870  114.3560450191  32.0342671191  -2268148.0832620445  5010318.1436956767  3219225.4918385763    1.3289    0.5487    0.7291  
491204.000000  30.5099950433  114.3560450809  32.0443437751  -2268148.0909379730  5010318.1462671803  3219225.5023392746    1.3289    0.5506    0.7317  
491205.000000  30.5099950503  114.3560451678  32.0477133011  -2268148.0995735480  5010318.1451128498  3219225.5047172327    1.3290    0.5489    0.7294  
491206.000000  30.5099950352  114.3560452012  32.0499527426  -2268148.1036366350  5010318.1463236138  3219225.5044129589    1.3290    0.5540    0.7363  
491207.000000  30.5099950710  114.3560452305  32.0507334871  -2268148.1056501018  5010318.1439384073  3219225.5082291053    1.3291    0.5536    0.7357  
491208.000000  30.5099951531  114.3560452432  32.0636787452  -2268148.1094515049  5010318.1493892390  3219225.5226403852    1.3291    0.5515    0.7331  
491209.000000  30.5099951931  114.3560452379  32.0702701472  -2268148.1104063895  5010318.1527227666  3219225.5298017850    1.3291    0.5562    0.7393  
491210.000000  30.5099952805  114.3560452086  32.0661869673  -2268148.1043618200  5010318.1461957386  3219225.5360798631    1.3292    0.5621    0.7471  
491211.000000  30.5099953372  114.3560452235  32.0723988712  -2268148.1065573096  5010318.1475701127  3219225.5446542930    1.3292    0.5653    0.7514  
491212.000000  30.5099952818  114.3560452226  32.0648237010  -2268148.1050718208  5010318.1445034994  3219225.5355138569    1.3293    0.5685    0.7557  
491213.000000  30.5099952084  114.3560452302  32.0652925316  -2268148.1076043914  5010318.1483385283  3219225.5287361243    1.3293    0.5687    0.7560  
491214.000000  30.5099952005  114.3560451469  32.0584866488  -2268148.0980843217  5010318.1466977606  3219225.5245296448    1.3294    0.5731    0.7618  
491215.000000  30.5099952025  114.3560451876  32.0529312678  -2268148.0996263213  5010318.1406217441  3219225.5219012322    1.3294    0.5788    0.7695  
491216.000000  30.5099952253  114.3560451885  32.0586627992  -2268148.1012121355  5010318.1439130642  3219225.5269926349    1.3295    0.5801    0.7712  
491217.000000  30.5099952110  114.3560451909  32.0616575005  -2268148.1028136406  5010318.1469092416  3219225.5271385680    1.3295    0.5838    0.7761  
491218.000000  30.5099951636  114.3560451723  32.0625852644  -2268148.1026164712  5010318.1508008717  3219225.5230876985    1.3295    0.5888    0.7829  
491219.000000  30.5099951468  114.3560451781  32.0562924566  -2268148.1012814557  5010318.1464931862  3219225.5182864782    1.3296    0.5857    0.7787  
491220.000000  30.5099951561  114.3560452060  32.0571918087  -2268148.1038217866  5010318.1456164969  3219225.5196354212    1.3296    0.5859    0.7791  
491221.000000  30.5099951756  114.3560452329  32.0602872809  -2268148.1068235375  5010318.1459841924  3219225.5230634040    1.3297    0.5863    0.7796  
491222.000000  30.5099951781  114.3560453071  32.0617909459  -2268148.1137877754  5010318.1440969594  3219225.5240688655    1.3297    0.5834    0.7758  
491223.000000  30.5099952250  114.3560453650  32.0753463032  -2268148.1225781725  5010318.1500391597  3219225.5354307010    1.3298    0.5841    0.7767  
491224.000000  30.5099952692  114.3560453965  32.0884074969  -2268148.1289522434  5010318.1567735532  3219225.5462855375    1.3298    0.5808    0.7724  
491225.000000  30.5099953123  114.3560454023  32.0988506991  -2268148.1321656797  5010318.1625320949  3219225.5557042705    1.3299    0.5807    0.7723  
491226.000000  30.5099953155  114.3560454020  32.0980560910  -2268148.1317828181  5010318.1617575353  3219225.5556045002    1.3299    0.5813    0.7731  
